order,seasonal_order,AIC,BIC,MAE,RMSE
"(2, 0, 2)","(1, 1, 0, 24)",10215.915893923693,10353.795895830617,52.2299272101377,80.92947776065269
"(2, 0, 1)","(1, 1, 0, 24)",10352.796903956038,10483.420063657335,52.38027352573148,81.43453297180415
"(1, 0, 1)","(1, 1, 0, 24)",10468.624078060697,10591.992018235696,52.88213898143341,82.36275674392921
