epoch,train_loss,val_loss
1,0.5680675313967031,0.26561886072158813
2,0.16295679894889273,0.1296600103378296
3,0.08667176543939405,0.064100481569767
4,0.06794957634879321,0.05749989300966263
5,0.06258839386992338,0.05453912913799286
6,0.05944203694419163,0.05220946669578552
7,0.057423968049811154,0.05069957301020622
8,0.05548446016704164,0.0496559739112854
9,0.054041739916656076,0.04879860207438469
10,0.052144339717015986,0.04514862224459648
11,0.05095259154715189,0.04379002004861832
12,0.04909830522246477,0.04363767057657242
13,0.04781618150995999,0.04156253859400749
14,0.04621853243287017,0.04093630239367485
15,0.04532610197983137,0.04298447072505951
16,0.044781839793048256,0.038909945636987686
17,0.04362886344514242,0.03789236396551132
18,0.042761131575921686,0.037618041038513184
19,0.04255124953825299,0.03706277534365654
20,0.04104017552624389,0.03743397817015648
21,0.04069687707758531,0.034465257078409195
22,0.04015288465633625,0.03706995025277138
23,0.03952611028784659,0.035712044686079025
24,0.03913808618558616,0.033725034445524216
25,0.03824322334513432,0.033369280397892
26,0.038391830263341344,0.035054437816143036
27,0.03884293765919965,0.03325357288122177
28,0.03749232793726572,0.034864991903305054
29,0.03730799930124748,0.034229714423418045
30,0.03719354557191453,0.03415468707680702
31,0.03658733703196049,0.03388049826025963
32,0.036675192233992786,0.03440523147583008
33,0.036371944017890026,0.033269353210926056
34,0.035791333037905576,0.03313148394227028
35,0.035797742627015926,0.03301050513982773
36,0.03555574945015151,0.03300989791750908
37,0.03543146940447935,0.03287912905216217
38,0.035560662744612226,0.03319525718688965
39,0.035096715136272154,0.033554285764694214
40,0.03504161750216309,0.03360157459974289
