order,AIC,BIC,MAE,RMSE
"(2, 0, 2)",113984.88303825524,114028.43896422043,53.006074553533075,83.4962001265994
"(3, 0, 2)",113983.03047732734,114033.84572428673,53.018042105642024,83.51884251405494
"(3, 0, 1)",114025.00544533841,114068.5613713036,53.089709396345235,83.68414145615482
"(3, 0, 0)",114033.35248896808,114069.64909393908,53.04322361164736,83.69260423182796
"(2, 0, 1)",114028.13906025936,114064.43566523035,53.089528084005806,83.70135350571711
"(2, 0, 0)",114040.10423284,114069.1415168168,52.97524588731757,83.7018620177681
"(1, 0, 2)",114038.66925464882,114074.96585961981,53.16936894369782,83.82575556939406
"(1, 0, 1)",114073.93335299412,114102.97063697092,53.396570262728616,84.2672115922847
"(1, 0, 0)",114985.67688406905,115007.45484705165,54.6149006779444,89.86674546768764
