epoch,train_loss,val_loss
1,0.23521205065427003,0.068211629986763
2,0.07921840954158041,0.0526173934340477
3,0.06828737107140047,0.047686442732810974
4,0.06390529705418481,0.04731253534555435
5,0.05955024201560904,0.043790776282548904
6,0.05546378597249219,0.04327511414885521
7,0.053805481642484665,0.038851868361234665
8,0.05157296474517128,0.036343686282634735
9,0.049230730069088346,0.03826116397976875
10,0.0468917443520493,0.037805888801813126
11,0.04645830597498535,0.03339305520057678
12,0.0448624307266724,0.037460941821336746
13,0.043799177318075554,0.034796711057424545
14,0.043297005978263456,0.03618372976779938
15,0.0425251445238605,0.03289314731955528
16,0.04194764999879731,0.034950148314237595
17,0.04112643628944585,0.03327251970767975
18,0.04126190941458867,0.03385845944285393
19,0.04065751781066259,0.03631415590643883
20,0.040533883704079524,0.03361412137746811
21,0.039818264498018924,0.03711199760437012
22,0.03825965178785501,0.03341817855834961
23,0.03830398306434537,0.038497574627399445
24,0.03755859494853167,0.03220208361744881
25,0.03827066664342527,0.032376158982515335
26,0.03676777356016783,0.03489983454346657
27,0.03640668485083698,0.031429871916770935
28,0.03694486622641116,0.03281502053141594
29,0.037320821810467746,0.03126370534300804
30,0.03578511432365135,0.03443654626607895
31,0.035567142782203943,0.03344546630978584
32,0.03558639588731306,0.03377160057425499
33,0.036048962424198784,0.038362305611371994
34,0.03442071573693811,0.03245590627193451
35,0.03461222086147762,0.035088639706373215
36,0.03429338473964621,0.03309880197048187
37,0.033906842938359875,0.03354283422231674
38,0.033592022886430775,0.034892112016677856
39,0.033617471103315,0.036905091255903244
40,0.03297678673248968,0.03394651785492897
41,0.03265235658137151,0.038927752524614334
42,0.0326263140887022,0.03468741476535797
43,0.032628570993741356,0.04137583076953888
44,0.03237801438404454,0.03268645331263542
45,0.03276036088757309,0.03680344671010971
46,0.031640945531335875,0.0386851467192173
47,0.03109800716701113,0.042808812111616135
48,0.03148416089422909,0.04276271164417267
49,0.030852803868460066,0.03684260696172714
50,0.029849877833952137,0.038761965930461884
51,0.030342740524146292,0.03619130700826645
52,0.029958620759440058,0.044558439403772354
53,0.02960682361398214,0.036083728075027466
54,0.029221993882531,0.04233715310692787
55,0.02940452112643807,0.040135130286216736
56,0.02925878179110127,0.04067221283912659
57,0.02792375240428948,0.04771095886826515
58,0.028124491373697918,0.04655115306377411
59,0.027862925530859717,0.04315594583749771
60,0.028420237663351458,0.03832472115755081
61,0.027810464532654962,0.04169097915291786
62,0.02659645362722653,0.040456149727106094
63,0.0269693819185098,0.04574642330408096
64,0.027774670701703908,0.04275074601173401
65,0.0270462023485222,0.05461288243532181
66,0.025648528020139092,0.06114776432514191
67,0.026025101887407125,0.04405432939529419
68,0.025491553347235844,0.03926754742860794
69,0.025781798808846946,0.048066992312669754
70,0.025574138204072727,0.041325006633996964
71,0.025001489499836792,0.04579558223485947
72,0.024554418273454094,0.042174387723207474
73,0.024518969319300886,0.04226425290107727
74,0.024820060641677293,0.042038291692733765
75,0.024486026439217875,0.04817621409893036
76,0.023551373868996715,0.04476429894566536
77,0.02396514577170213,0.04448169097304344
78,0.0237113325799137,0.0463511124253273
79,0.022730577403656495,0.05048569664359093
80,0.022525686736184138,0.05145341157913208
